Suggestions for improvement,cluster
"Campus xa trung tâm nên đi làm vất vả, nhất là những ngày mưa",2
Cần thêm thời gian để đánh giá có cần cải thiện gì hay không,1
Nơi để xe bố trí hơi chán nên mỗi lần lấy xe rất cực,2
Hi vọng lương và thưởng cần được xem xét tăng kịp thời.,1
"Campus đẹp nhưng khá xa trung tâm, nên hôm nào cũng lo hẹn giờ dậy sớm để đi làm",2
Lương OT mình nghĩ chưa được cạnh tranh bằng các công ty khác,1
Cần có quản lý giỏi hơn để nhìn nhận đánh giá năng lực nhân viên chính xác nhất,1
"OT phân bổ chưa hợp lý nên nhiều khi thấy khá mệt và áp lực
OT nhiều, mật độ OT chưa hợp lý khiến nhiều khi bị căng thẳng",0
"Đi làm hơi xa vì công ty xa trung tâm, may còn có xe bus đưa đón nên cũng đỡ hơn đc xíu",2
"Lương chưa thực sự cạnh tranh, chỉ ở mức tạm được thôi",1
"Chế độ đãi ngộ ở mức tạm, lương thưởng OT tùy thuộc vào budget dự án",1
"Hầm để xe chật chội, đi làm đưa xe vào và lấy xe ra mất khá nhiều thời gian",2
"Dự án mình từng làm với khách hàng Nhật phải OT, ON hơi nhiều, thậm chí là triền miên khiến nhân viên mệt mỏi nên cần cải thiện khâu estimation.
Dự án mình làm với khách hàng Nhật phải OT khá nhiều, thậm chí là ON, tuy nhiên lương OT được trả đầy đủ và quy đổi thành ngày nghỉ phép",0
"Công ty xa trung tâm
Đồ ăn ở căng tin hơi bị chán",2
OT nhiều thích hợp với tuổi trẻ hơn là với những người đã có gia đình,0
Quy trình chưa đơn giản hóa các loại thủ tục không cần thiết,0
"Văn phòng hơi bí với ẩm mốc và buổi sáng sớm, hy vọng sau dịch sẽ được cải thiện",2
"Lương hơi thấp hay do mình là fresher nhỉ ^^
Công ty xa thành phố",2
"Giờ giấc tự do là tốt, nhưng nhiều khi ảnh hưởng tới quá trình làm việc chung của team",1
"Văn phòng xa trung tâm, bất tiện đi lại mặc dù có xe bus",2
Thấy công ty khá ổn nên chưa có điều gì là không thích,1
"Mất thời gian đi lại khá nhiều, sau dịch bus nên tăng cường độ các chuyến buổi sáng hơn",2
"Process nhiều khi chưa nhanh gọn lắm, cần căn chỉnh lại",0
"do WFH nên anh em trong team thiếu gắn kết, làm việc chưa năng suất 100%",2
"Vẫn còn ít thử thách về Technical, Mọi người vẫn chưa máu lửa lắm khi làm sản phẩm",1
"Cần bổ sung thêm chính sách hỗ trợ nhân viên, như hỗ trợ ăn trưa hay đi lại...",1
Training nhiều chứng chỉ quốc tế nên đôi khi nhân viên quá tải việc học chứng chỉ mới,1
"Đi làm xa mất hai tiếng mới tới nơi, có xe buýt đưa đón theo giờ cũng đỡ",2
"Campus xa trung tâm đi lại không tiện nhưng đẹp long lanh ,thoáng mát có xe buýt đưa rước",2
"Muốn có nhiều buổi gặp mặt anh em trong công ty để giao lưu, học hỏi hơn",2
"Muốn rút ngắn các quy trình văn bản, thủ tục giấy tờ vì quá rườm rà",0
Muốn nâng cấp cấu hình máy tính và trang bị thêm PC,2
"Các quy trình báo cáo, văn bản cần được rút ngắn hơn",0
"Nên có mức thưởng kịp thời để kích thích sự chăm chỉ, cống hiến của nhân viên",1
"- Manager cần quan tâm tới nhân viên hơn
- Cải thiện thời gian làm việc của nhân viên, giảm việc OT
OT thường xuyên, lương không được cạnh tranh so với thị trường",1
Đề xuất cần có thưởng kịp thời để push tinh thần anh em trong mùa dịch dã như này.,1
"Đề nghị công ty tuyển nhiều nhân viên nữ, các bạn nam đi làm ăn mặc chỉn chu đẹp zai hơn nhé",2
"member ít khi được chọn dự án như mong muốn nên khó có thể chuyển dự án
OT nhiều nên không có thời gian tham gia các hoạt động khác",0
Nên tổ chức nhiều buổi gặp mặt offline cho anh em xả stress,2
"Lương fresher thấp, không biết có sự phân biệt ở đây chăng?",0
"OT hơi nhiều nên không có thời gian nghỉ ngơi, một số dự án client thay đổi rất chóng mặt",0
"Chế độ nghỉ mát của công ty khá lằng nhằng vs support hơi ít ấy, không đã.",1
"Chương trình văn hoá đoàn thể hay thiên về bố mẹ, với các chị em nhiều. Hội thao thì vừa rồi dịch nên cx chẳng có gì mấy",0
"Thủ tục duyệt giấy tờ khá rườm rà, WFH cũng không được cắt giảm",0
"Thủ tục văn bản khá rườm rà, mùa dịch nhiều cái bất tiện, nên rút gọn hơn.",0
Đôi lúc phải làm những dự án không phù hợp với định hướng nghề nghiệp,1
Đôi lúc phải làm những dự án không phù hợp với định hướng nghề nghiệp,1
"Lương quá thấp so với thị trường IT chung.
Review lương cứng nhắc, mỗi lần tăng rất ít, tùy vào quỹ lương ở trên đưa xuống, ko dc ý kiến j.",0
"Lương
Tuyển dụng cần chắc lọc kỹ nhân lực
Sếp cần nắm chặt chẽ về team, dự án
Trả không đúng với luật lao động
Quy định OT chưa hợp lý",0
"áp lựng công việc cao, nhiều deadline mới vào có thể hơi ngộp",0
"OT quá nhiều, làm xuyên trưa, tối đến 1-2 là chuyện bình thường
Làm việc như mấy con boooooooooooooooooooooooooooooò",2
"- Tăng lương hơi chậm
- Khó deal được mức lương đầu vào cao",0
"Các dự án OT hơi nhiều, nên tăng thưởng cho nhân viên dự án, cơ chế thưởng cần chia hợp lý hơn",1
"OT hơi nhiều và trả chưa xứng với công sức bỏ ra, cần cải thiện hơn",0
"OT hơi nhiều so với những người đã có gia đình, cần thêm nhân lực cho công ty",0
"phân biệt tầng lớp, tiền thưởng có khi bị đá bớt, thành phần giỏi làm vài năm nghỉ, chủ yếu làm ở đây là dân FPT ra, bởi vì bị nhôi sọ
lương OT bị giam quá lâu, nếu nghỉ sẽ được trả lại",0
"Áp lực, cần phải nỗ lực nhiều vì có rất nhiều người giỏi ở đây. Muốn lên cao phải bền bỉ
Dự án nhiều nên cũng hơi",0
"Việc đánh giá năng lực nhân việc còn kém. Môi trường có vẻ trọng mối quan hệ hơn là trình độ.
Việc tính lương OT hay ko thì lại phụ thuộc vào manager bạn có muốn tính cho bạn ko.",0
"Chế độ phúc lợi, lộ trình thăng tiến, vẫn còn tồn tại polictic
OT thường không có tiền phụ cấp, planning kém dẫn đến OT nhiều",1
"Giảm bớt những quy trình không cần thiết, có chính sách tăng thu nhập phù hợp với nhân viên.
OT ít khi được tính, nhiều task được assign không phù hợp với level hiện tại của dev",1
"- Các dự án làm tài liệu nhiều đặc biệt là chụp eviden, cái đó nên để tester làm thì hay
- Các bạn mới ra trường ko nên làm các dự án mà làm tài liệu quá nhiều, nếu quay lại thời điểm mới ra trường mình sẽ ko chọn fs, sau khi rời fs qua cty khác code nhiều hơn và thấy rằng code ngu bỏ mẹ ra. một phần cũng do mình mà một phần cũng do môi trường.
có người review code, chỉ cách code thì dễ lên tay được, ăn coppy past, làm tài liệu thì cũng khó",0
Lương fresher chỉ tạm chứ không cạnh tranh; lên senior ngon hơn hẳn hơn,1
"Công ty sử dụng shadow hơi nhiều trong các dự án, nên hạn chế",0
"Chỉ xét tăng lương 1 lần/năm, ping ngoài giờ làm việc",0
Tăng thêm phần trăm bonus cho nhân viên mỗi dự án,0
"Hơi đau cột sống vì ngồi code nhiều mặc dù có khu bể bơi, bóng bàn, gym gủng nhưng cũng không tránh khỏi bụng bự",2
Bên này dự án nhiều nên cũng thường xuyên phải OT đến 11h 1h luôn,0
"Cơ sở vật chất tốt nhưng bàn làm việc hơi chật, đồ ăn ở đây cũng ít món",2
Khối lượng công việc nhiều mà team mỏng nên đôi khi công việc deliver chưa được tốt,0
Hiện tại không có gì complain cả,1
Lương bình thường chưa quá nổi trội so với mặt bằng,0
Sang hòa lạc thì đi hơi xa nên ông nào nhà xa cũng quan ngại phết,2
"Thì công nhận đổi lại là sức khỏe, đại khái cũng bào sức lắm, mới vào chưa quen chắc than thở nhiều về OT, sau cũng quen ấy mà",0
"Môt số dự án của bên này phải OT nhiều nên lắm khi đén 11h hay 1h cũng hơi cực, nên phân công việc hợp lý hơn",0
"OT thì có hay phải đột xuất nhưng được trả lương nên mình cũng không ngại ngần gì cả, với cả việc gì bh mà chả phải OT",0
"Thi thoảng công ty bắt đi học mấy cái khóa không cần thiết lắm, cho bọn trẻ trẻ fresher đi thì oke",0
"Mặc dù là công ty IT thương hiệu lớn nhưng máy tính văn phòng thì cùi bắp, yêu cầu nhiều lần nhưng chưa thành hiện thực., nản luôn",1
Đề xuất con máy tính mới mà mấy tháng nay chưa thấy đâu,1
"Văn phòng làm việc hơi xa, đi lại hơi bất tiện... Lương hơi thấp so với mặt bằng chung cần cải thiện sớm điều này.",2
"OT hơi nhiều nhất là khi vào mùa vụ nhiều dự án.... Vì vậy cần bổ sung thêm nhân lực cho những dự án như này, nhất là dự án của Nhật",0
"Các dự án với client nhật đa số OT căng, nhiều khi khá đuối sức.",0
"OT được tính đầy đủ, nhưng nhiều dự án OT sm nên thấy khá mệt",1
Mức lương cần cạnh tranh hơn mới thỏa đáng,1
"Đi làm xa, di chuyển vất vả và nhiều thời gian ai thích ngủ nướng như mình phải dậy sớm đi làm thấy hơi mệt",2
Clearer career path guidance and better staff performance evaluation.,3
"Thủ tục giấy tờ hơi lằng nhằng, nhiều thủ tục ko cần thiết nên cắt giảm bớt",0
"Máy tính PC thấp, làm việc nhiều khi thấy chưa hiệu quả",1
Quy trình xử lý thủ tục hơi rườm rà bù lại có người support cho luôn,0
"OT căng thẳng, hệ thống quản lý công ty phức tạp, rườm rà",0
Di chuyển xa trung tâm. Một số quy trình làm việc chưa rõ ràng,0
Chính sách lương thưởng cần cải thiện cạnh tranh hơn để anh em có động lực cống hiến,1
"PC máy thấp, quy trình chưa được hợp lý khá cồng kềnh mất time",0
"Hệ thống quản lý của công ty cồng kềnh và phức tạp, nhất khoản xuất tiền",0
"Giấy tờ thủ tục hơi lằng nhằng, cắt bớt những thủ tục ko cần thiết thì hay hơn",0
"Cần nâng cấp cái cấu hình PC, thấp quá làm việc nhiều khi bực",2
Cái hầm để xe quá chật hẹp nên mỗi lần lấy xe vất vả quá,2
"sếp cân nhắc và điều chỉnh OT không bắt buộc, tuyển dụng nhân sự làm OT cho anh em bớt áp lực",1
"Hi vọng sếp xem xét tăng lương, lương fresher chưa cao",1
Chắc phải phấn đấu lên senior lương mới khá được. Lương OT cạnh tranh hơn để anh em còn cống hiến,1
"Cấu hình máy hơi thấp, xin nâng cấp mãi chưa thấy đâu",2
"Con PC hơi thấp nên làm việc nhiều khi cũng bực, xin được nâng cấp mà mấy tháng nay chưa được",2
Nên có nhiều khung giờ flexible hơn để nhân viên dễ thích nghi hơn trong công việc,1
"OT triền miên hơi đuối, sếp xem xét tuyển thêm nhân sự
Chưa có chế độ sắp xếp nhân sự OT hợp lý, PM cần dự trù được số lượng anh em trong dự án",1
"Mạng bị chặn do bảo mật, gửi file đi khá lâu chưa nhận được",2
Vào dự án là căng như dây đàn vì OT nhiều. Sếp tuyển thêm nhân sự giảm bớt áp lực cho anh em,0
"OT nhiều, nói chung là hợp với người lao động trẻ, còn với người có gia đình thì hơi vất
OT nhiều, phân bố nhân lực chưa hợp lý",0
"Trang bị máy tính cấu hình cao, đầu tư cơ sở vật chất tốt hơn",2
"Nên có tính cạnh tranh về lương nhiều hơn, mức thưởng kịp thời hơn",1
"Hầm để xe chật chội quá, vất vả mối lần lấy xe -> cần bổ sung thêm khu để xe cho anh em đỡ vất",2
"Campus xa trung tâm, phải dậy sớm đi làm, chiều về giờ tan tầm thì ùn tắc",2
Mong sếp tăng lương để còn có động lực cống hiến cho công ty,1
"Còn vài cái màn hơi cũ, công ty nên thay sớm để đỡ bất tiện",2
"Lương chưa cạnh tranh, OT hơi nhiều nên nhiều khi thấy đuối
OT vất vả, cần dãn bớt",1
"Không hiểu sao cái hầm để xe nó lại bé xíu thế kia, nghĩ đến lấy cái xe ra đã mệt",2
"Xin cái máy tính mà 3 tháng rồi còn chưa được cấp, chán",1
"OT quá nhiều nên nhiều khi thấy như bán sức, khá vất vả",2
lương fsoft khá thấp so với mặt bằng chung. công ty cần có chế độ thưởng hợp lý hơn.,1
"Hầm để xe hơi chật trội, cần cơi nới rộng cho nhân viên ra vào lấy xe cho thoải mái",2
Thiếu nguồn lực nhân sự giỏi cho các dự án khó,0
"OT nhiều, cần có thêm người giỏi cho các project khó.
Phân chia nhân sự chưa hợp lý",0
"OT liên tiếp, cần giãn bớt để đỡ áp lực, có mức lương thỏa đáng hơn",1
"Cần nâng cấp PC vì cấu hình hơi thấp, thay càng sớm, càng tốt. Với cả có thể giảm bớt việc học các chứng chỉ được không ạ, học nhiều quá ạ",2
"Join vào công ty thì hên xui, nếu gặp BU ngon thì ít OT, vào BU ngon còn vào dự án cũng hên xui, nếu vào dự án ngon thì học hỏi được nhiều, còn không thì làm tài liệu dập mặt. Lương tăng chậm, do rất đông nên khó để leo lên nếu không thực sự giỏi + nổi bật
lương OT thực chất là tiền của nhân viên, nếu không OT thì sẽ nhận project bonus cuối kì cao, và ngược lại. Vậy nên hạn chế vào project OT",0
"lương tạm được, sếp xem xét tăng lương thì thích hơn",1
Mức lương chỉ phù hợp với nhân viên mới ra trường,1
"Việc nhiều, OT nhiều mà có lương OT nên cũng được",0
"Nhà xe chật hẹp, cần cải tạo và nâng cấp tốt hơn để đáp ứng nhu cầu của nhân viên trong công ty",2
"Vẫn còn một số màn pc cùi, lại còn bảo mật. Hạn chế khá nhiều điều",1
Nhân sự thay đổi quá nhiều. OT quá nhiều nên nhiều khi cảm thấy làm việc như lính đánh thuê,0
"Máy tính cùi quá, ko phù hợp với yêu cầu công việc như bây giờ",1
"Mức lương cần được cạnh tranh hơn, mong sếp xem xét tăng lương cho anh em có động lực để làm việc",1
"Cấu hình máy hơi thấp, cần thay máy cấu hình cao hơn cho nhân viên",2
Lương với thưởng cần tương ứng với công sức bỏ ra,0
Nơi để xe quá bé khiến việc lấy và gửi xe quá vất vả,2
"Cần điều tiết lại quy trình làm việc, quy trình giấy tờ lằng nhằng, chờ đợi lâu",0
"Quản lý chưa sát sao nhân viên, nhiều khi muốn check hay hỏi cái gì cũng khá mệt",1
Campus xa nên đứa thích ngủ nướng như mình phải dậy sớm đi làm đúng là khổ sở,2
Hầm để xe chật quá nên việc lấy xe rất mất thời gian và vất vả,2
Nên có nhiều khung giờ linh hoạt hơn để nhân viên dễ thích nghi,1
Cần có quản lý giỏi để nhìn nhận thưởng OT dự án kịp thời,1
"Đánh giá thường xuyên hiệu quả công việc của mỗi cá nhân trong công ty để kịp thời có chế độ thưởng, phạt hiệu quả.",1
"Chắc là xa thôi, chứ với đứa mới ra trường như mình thì khá hài lòng với Fsoft",0
"Thỉnh thoảng công ty tổ chức thêm các hoạt động giao lưu, nhưng mà hát hò ít thôi đi mấy khu resort các thứ thì được",2
"Tạo không gian thoáng, decor nơi làm việc xanh hơn, cho giao lưu giữa các team với nhau",2
"OT nhiều quá nên nhiều khi cảm thấy như bán sức, đề xuất đan xen các dự án lớn nhỏ cho từng team",1
"Campus xa trung tâm, phải đi làm sớm chứ ko lại tắc đường",2
"Một số dự án OT hơi căng thẳng, PM cần dãn bớt hoặc dự trù bổ sung nhân lực cho anh em đỡ vất vả",1
Lương chưa cạnh tranh vì hơi thấp so với các công ty khác,1
"Mức lương khởi điểm thích hợp với sinh viên ra trường, xem xét vấn đề tăng lương",1
Cần giảm bớt OT sao cho hợp lý và làm việc hiệu quả,0
"OT nhiều nên nhiều khi cũng căng thẳng, công ty nên tổ chức nhiều hoạt động cho anh em xả stress",1
"Chính sách lương, thưởng chưa tốt bằng các công ty khác",1
"Nên tổ chức team building theo các thình thức mới, hấp dẫn hơn",1
"Đi làm hơi xa, may mà có bus đưa đón nên cũng thuận tiện",2
"OT nhiều mà lương hơi thấp, lương chưa phù hợp với người giỏi thật sự",1
"Campus đẹp, đầy đủ tiện nghi, mỗi tội xa nhà đi lại hơi mất thời gian",2
"Phỏng vấn một đằng vào làm một nẻo.
Như mình thì toàn bị kéo vào ti tỉ thứ dự án maintainance chán vờ lờ.
Công nghệ thì đến 80% dự án toàn xài hàng cũ.
Tùy dự án. Nhưng đa số đều cần OT nhiều.",1
Khi có dự án OT thì OT hơi nhiều cần cải thiện hơn về khâu estimation.,0
"OT khá dày, mỗi lần phân dự án to là bỏ bê người yêu luôn ấy",1
"Cần nhiều hình thức tổ chức teambuilding để anh em xả tress, thân thiết hơn",2
"Công việc nhiều, cày như trâu. Đề xuất dự trù nhân lực trong team để anh đỡ căng thẳng
Mật độ OT dày, OT bán sức khiến anh em trong team vất vả",1
"Lượng OT trong dự án nhiều nên tuyển thêm nhân sự. PM cần chuyên nghiệp hơn để nắm bắt tốt dự án và đề xuất OT lương thưởng tương xứng
OT căng thẳng, pm cần bổ sung nhân lực trong dự án",0
OT không bắt buộc thì ok hơn nhiều. Đề nghị tăng OT theo dự án,1
"Công việc nhiều khi rất áp lực, đề nghị tuyển thêm người làm OT",0
"Lương chưa phù hợp với chất xám bỏ ra, quản lý cần giỏi hơn để nhìn nhận đề xuất thưởng OT kịp thời",1
"Tiền OT phụ thuộc budget dự án. OT nhiều không có ngày nghỉ
Mật độ OT dày, vất vả",1
"- lương thưởng nhìn chung tương đối thấp so với mặt bằng chung, không biết giờ đã cãi thiện hơn trước kia chưa, chính sách tăng lương thì tùy team, tùy case, tùy nhân phẩm :D
- phúc lợi thấp hơn so với mặt bằng chung (thấp nhất trong các cty mình đã từng làm)
tùy team, cách tính ot thì tùy sếp và budget của project, nhìn chung là hiến máu là nhiều",0
"OT quá nhiều, nhiều khi quá sứ nhân viên nhất là các dự án nhật",0
"Cấu hình của máy tính hơn thấp, xin nâng cấp cái máy mà mãi chưa duyệt xong",2
"Nhiều thủ tục giấy tờ rườm rà không cần thiết lắm, cắt giảm đi thì hơn",0
"chế độ lương thưởng chưa hợp lý lắm, cần phải xem xét lại",1
"OT nhiều không có time để thở. Thủ tục xét duyệt hơi rườm rà
OT vất vả, cường độ OT cao. Nên bổ sung xen kẽ thời gian nghỉ ngơi hợp lý hơn",0
"Anh em trong team chưa thân thiết lắm. Đa số add vào team là vào việc ngay, với những team toàn người mới sẽ mất thời gian để anh em thích nghi và hiểu nhau.",1
Con máy của mình màn thấp và cũ cần được thay gấp mà log đơn đợi mãi mới duyệt xong,0
Campus xa trung tâm nên tốn nhiều thời gian để di chuyển tới công ty,2
"Lương cần được cạnh tranh hơn, chưa thỏa đáng so với công sức mình bỏ ra",1
"Quy trình làm việc khá cồng kềnh, nhiều thủ tục. Cần cắt giảm sớm.",0
Quy trình cồng kềnh không hợp lý. Mạng bị hạn chế ko tìm thấy thông tin cần thiết,0
Nhiều OT thành ra hơi bị quá sức. Một số việc cho phép mang về nhà thay vì ở lại công ty thì ổn hơn,1
Tăng lương tăng thưởng cho nhân viên. Phân chia nhân sự team hợp lý để giảm bớt gánh nặng OT,1
Tuy đã thay thế máy cấu hình cao hơn nhưng vẫn còn một số nhỏ máy cấu hình thấp. Nhận phải mấy máy này khá khó chịu,2
"Công ty xa trung tâm, ngủ dậy muộn cái là biết liền dù có xe buyt đưa đón",2
PM cần nhìn nhận và đề xuất thưởng OT dự án kịp thời cho anh em hơn,1
Đề nghị tăng thêm nhiều hoạt động team building để anh em giao lưu học hỏi,1
Lương không được cạnh tranh so với bên ngoài nhưng tích lũy được thêm nhiều kinh nghiệm,0
"Điều chỉnh bổ sung quỹ trợ cấp. OT cần được trợ cấp, hỗ trợ nhiều hơn hiện tại.
Chưa có trợ cấp thỏa đáng lắm, cần điều chỉnh bổ sung",1
"Nếu vào được team tốt thì nhiều cơ hội được tiếp xúc với khách hàng lớn hơn.
Nên tăng lương cho nhân viên để thu hút nhân tài cũng như giữ những người cũ ở lại",1
"OT nhiều khi quá tải ,nên tuyển thêm người mới để bớt áp lực.
Mật độ dày, nhiều khi quá tải",1
"Campus xịn mà xa trung tâm, đi lại mất thời gian.
Được cái có xe bus đưa đón cũng đỡ phần nào",2
"Khi nhiều dự án thì OT cũng quá nhiều, mệt mỏi. Đề nghị sếp nên tuyển thêm nhân sự
OT nhiều, vất vả",1
lượng việc chồng chất cần nên có nhiều khung giờ flexible làm việc để nhân viên đỡ relax,1
"OT phụ thuộc dự án, lương OT chưa được cạnh tranh
Lương thưởng chỉ ở mức tạm, chế độ chưa rõ ràng lắm",1
"Được học hỏi nhiều, nhưng công việc thì ngập lối, ko có ngày nghỉ. có mức lương để cạnh tranh hơn thì làm việc bán mạng cũng đáng",0
"OT chưa xứng đáng, cần tăng lương OT theo năng lực và đổi máy cấu hình cao hơn thì tốt
Lương chưa xứng đáng với công sức lắm",0
Cơi nới hầm để xe rộng thêm một chút nữa thì tốt. Chật quá mỗi lần lấy xe nóng bức,2
"OT ổn nhưng nhiều khi dự án nhiều lại gây ra áp lực, nhất là với những người đã có gia đình (như mình). Nên cần bổ sung thêm nhân lực cho công ty khi mà dự án nhiều",1
"""PC cần được cải thiện, thay mới, chứ với công ty lớn thì điều này là cần thiết.
Bảo mật quá nhiều :((""",2
"OT nhiều, bạn nào mới ra trường thì chắc thích vì học hỏi được nhiều, chứ làm lâu OT nhiều cũng hơi ngán.",0
công ty khá là xa trung tâm nên rất mất thời gian đi lại,2
"Máy cấu hình thấp, chờ đổi máy hơi bị lâu hơn tháng mới xong",2
"Công ty chặn mạng nhiều do bảo mật nhiều, nên nhiều khi cũng hạn chế.
Hầm để xe hơi bé. Cải thiện sẽ ok",2
Lương hơi thấp so với thị trường. Cần điều chỉnh lại cho phù hợp. Tuy nhiên OT thì khá là thoải mái,0
"Cần quan tâm tới nhân viên nhiều hơn, OT nên cần thoải mái để hoàn thành dự án đúng thời hạn",1
Cần fair hơn trong việc tăng lương cho nhân viên lâu năm.,2
"Lương OT cần cạnh tranh hơn
Lương và thưởng nên được hỗ trợ tốt hơn
Lương OT làng nhàng, chưa cạnh tranh",1
"Campus đẹp nhưng hơi xa trung tâm, mất thời gian đi lại nhiều. Đặc biệt với những người quen làm việc đêm như mình thì được ngủ nghỉ khá ít
Máy móc cần được nâng cấp nhiều hơn nữa",2
Cơi nới thêm cái hầm để xe cho anh em gửi xe đỡ chật chội. Tạo thêm nhiều cơ hội làm việc giữa các nhân viên in đề tăng tính đàn kết,2
"lương fresher làng nhàng, senior trở lên mới khá. Xét lương thưởng tùy theo dự án và năng lực sẽ hợp lý hơn",0
Nhiều dự án nhiều OT. Nhưng nhiều khi quá nhiều thì OT cũng trở thành áp lực. Vì thế cần bổ sung thêm nhân sự hơn nữa,0
"Lương OT cần cạnh tranh hơn
Mức lương của fresher chưa cạnh tranh lắm, nên cần bổ sung thêm điều này",1
"Công ty lớn nhưng máy móc hơi kém, máy đời cũ nhiều. Cần cải thiện điều này để phục vụ công việc được tốt hơn",1
"Nhân viên trẻ mới ra trường chế độ đãi ngộ chưa được tốt
Chế độ lương thưởng chưa hợp lý",1
"Hệ thống quản lý phức tạp, quy trình cồng kềnh chắc do công ty lớn quá",0
"OT phụ thuộc budget dự án, lương chưa được cạnh tranh",0
"OT nhiều ảnh hưởng time cá nhân, nhưng bù lại tiền lương OT lại rủng rỉnh
Mật độ nhiều, cần dãn bớt",1
"OT thoải mái nhưng khi dự án nhiều thành ra quá sức. yêu cầu công ty nên tuyển thêm nhân sự để share OT được dễ dàng hơn, time thoải mái hơn",0
"Quy trình làm việc cồng kềnh , mất time. lương OT thiếu tính cạnh tranh",0
"Sơm nâng cấp lại hệ thống máy tính, cấu hình thấp làm việc ko hiệu quả",2
"Lương so với thị trường hơi thấp, được cái có thưởng dự án, trợ cấp OT nên chấp nhận được",0
Lương thưởng cần cạnh tranh hơn để anh em yên tâm cống hiến,1
"Muốn có mức lương cao hơn, tính cạnh tranh nhiều hơn",1
"Muốn có mức lương cao hơn, tính cạnh tranh nhiều hơn",1
Lương thưởng cần cạnh tranh hơn để anh em yên tâm cống hiến,1
"Cần có nhiều thời gian xả stress hơn, chế độ đãi ngộ tốt hơn",1
"OT quá nhiều, nhiều khi rất mệt. mạng công ty bảo mật quá nhiều==>> hạn chế nhiều thứ..",0
"Dự án nhiều nên OT nhiều, không có thời gian riêng tư cho cá nhân
Ot nhiều, cần có thời gian nghỉ ngơi cho nhân viên",0
"Một số team nhận dự án vào việc luôn, anh em chưa kịp hiểu nhau dẫn đến làm việc chưa hiệu quả lắm",0
"Cơ sở vật chất vẫn chưa bằng các cty khác
Lương thấp
Đăng kí chế độ OT khá rườm rà, cần qua các bước approve khác nhau",1
"OT nhiều, nhất là khi dự án lớn hoặc với KH nhật thì OT không còn thời gian nghỉ ngơi
Phù hợp với junior
Mật độ OT nhiều, mất sức",1
"Lượng OT quá nhiều, PM cần tính toán dự phòng được trước số lượng để phân chia nhân sự trong team",1
OT nhiều nên nhiều khi ngộp trong công việc. Công ty cần tổ chức thêm nhiều team building hơn nữa để ace trong cty có time thư giãn hơn,1
"Quy trình giấy tờ nhiều thủ tục quá, cần rút gọn hơn",0
"OT nhiều, phù hợp với giới trẻ
OT nhiều, gây quá tải",1
"Một số khóa học bắt buộc không cần thiết lắm
Máy tính công ty hơi cùi",1
"Chỉ thấy áp lực ở công việc khi mà dự án với khách nhật ập đến, còn không có gì phải phàn nàn",0
"Cần cải thiện tiền lương và thời lượng OT. OT nhiều ngày liên tiếp gây mệt mỏi cho nhân viên
OT liên tiếp, cần dãn bớt",1
"Hơi ít vị trí cho Data Analyst...
PC cũ, cần thay sớm",2
Nhân viên đông nên chưa được sếp takecare tận tình lắm,1
"Lương cho fresher ở mức tạm, chưa cạnh tranh, OT nhiều",1
"Cần giảm bớt OT, không nên bắt buộc OT
Cấu hình máy kém, lại nhiều bảo mật :((",0
"Lương thưởng chưa đãi ngộ nhiều lắm nên nhiều bạn fresher vào làm sau 1-2 năm là nhảy.
OT một số dự án vất vả.",1
"Campus đẹp nhưng xa trung tâm, hôm nào cũng phải hẹn giờ dậy sớm để đi làm",2
"Tính cạnh tranh so với bên ngoài thì khá thấp, học thêm được các quy trình có thể áp dụng sau này",0
"Sếp cần cân nhắc tăng lương chứ lương chưa cạnh tranh, chưa đúng thực lực",0
"Đủ các loại quy trình, mua văn phòng phẩm cũng cần log ticket",0
Xin thay cái máy tính 2 tháng nay vẫn chưa được cấp,2
"Cách tính lương OT chưa rõ ràng, cần điều chỉnh lại
Cách tính lương OT ko rõ ràng, chưa tương xứng với công sức bỏ ra",0
"lương hơi thấp so với kì vọng cho Fresher
CT tính lương OT hiện nay chưa rõ, điều chỉnh lại",1
Cần khóa training cho từng tính chất vibe của khách hàng khác nhau (dễ làm việc),0
Có thêm nhiều hình thức team buding mới hấp dẫn hơn,1
"Nhiều loại quy trình, khá khó chịu khi văn phòng phẩm cũng phải log ticket",0
"OT nhiều khi sấp mặt, nhưng được cái lương OT ổn",0
"quy trình làm việc cồng kềnh, chặn mạng nhiều",0
Công ty cần tổ chức thêm cho team những buổi team building để xả stress cũng như gắn kết tình thân,1
"Mức lương và thưởng cần tốt hơn nữa. Pc kém, ko xứng với công ty lớn như này",1
"OT quá nhiều, nhận dự án với khách nhật là xác định vất thôi rồi.
Nên có nhiều khung giờ flexible hơn để nhân viên có thể thích nghi chứ căng thẳng quá.
OT nhiều, một số dự án khoai là xác định OT sấp mặt x2 x3, cần điều chỉnh lại mật độ công việc",1
Cần thêm khóa training chung cho các Fresher về chuyên môn và xử lý với khách hàng,0
OT quá nhiều thích hợp với người trẻ tuổi hơn,0
"nhà xe hơi chật, xếp hàng chen chúc nóng bức",1
"Lương OT nên nâng cao tính cạnh tranh hơn, xứng đáng với công sức anh em bỏ ra",1
"Cần có quản lý giỏi và nhạy bén hơn để có thể nhìn nhận và đề xuất OT, thưởng kịp thời",1
"Con PC thấp, cần thay gấp",2
Xa trung tâm nên đi làm khá vất vả,2
"Nhiều thủ tục rườm rà quá, quy trình giấy tờ lằng nhằng, nói chung mất thời gian",0
